Total Rules: 181065

P0=1427  	P1=6216  	P2=0     	P3=0     	P4=0     	
P5=0     	P6=121565	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 55539

srcMask=0: 98390
 1: 47324	 2: 6887	 3:    0	 4:    0	 5:    0	 6:   80	 7:  315	 8:  367	
 9:  197	10:   56	11:  326	12:  361	13:  204	14:   55	15:  337	16:  348	
17:  184	18:   24	19:  243	20: 1057	21: 1605	22: 1363	23: 1344	24: 1438	
25: 1005	26:  341	27:  320	28:  125	29:   16	30: 1247	31: 5286	32: 10220	

dstMask=0: 98390
 1: 6942	 2: 1551	 3:    0	 4:    0	 5:    0	 6:    0	 7:    0	 8:    0	
 9:    0	10:    0	11:    0	12:    0	13:    0	14:    0	15:    0	16:    0	
17:    0	18:    0	19:  119	20: 1229	21: 2591	22: 2239	23:  323	24:    0	
25:    0	26:    0	27:    0	28:    0	29:    0	30: 15254	31: 66218	32: 73489	

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort
128	   0	   0	 307	 160	1262	 630	 590	 292	   0	   0
129	   0	   0	 405	 170	1262	 634	 651	 278	   0	   0
130	   0	   0	   1	   1	1263	 632	 581	 289	   0	   0
131	   0	   0	   0	   2	1262	 632	 644	 282	   0	   0
132	   0	  11	   1	   0	1262	 632	 593	 295	   0	   0
133	   0	 589	   0	   0	1262	 633	 617	 281	   0	   0
134	 644	   0	  25	  42	1262	 628	 586	 278	   0	   0
135	  14	   0	 317	  44	1262	 630	 586	 279	   0	   0
136	   0	   2	   0	  71	1262	 630	 592	 256	   0	   0
137	   0	 417	   1	  64	1262	 625	 624	 293	   0	   0
138	  12	   0	   0	  70	1262	 634	 596	 298	   0	   0
139	 669	   0	   0	  74	1262	 626	 586	 283	   0	   0
140	   0	   0	   0	  43	1262	 632	 590	 298	   0	   0
141	   0	   0	   1	  46	1262	 629	 618	 282	   0	   0
142	   0	   1	   0	  35	1262	 633	 589	 285	   0	   0
143	   0	 503	   1	  36	1262	 631	 622	 293	   0	   0
144	   0	   6	 134	  40	1262	 633	 581	 280	   0	   0
145	   0	 486	 720	  26	1262	 632	 609	 257	   0	   0
146	   0	   5	   3	   3	1262	 632	 642	 306	   0	   0
147	   0	 543	   1	   3	1263	 630	 549	 285	   0	   0
148	   0	   6	   2	   2	1262	 628	 649	 292	   0	   0
149	   0	 523	   2	   3	1262	 629	 606	 313	   0	   0
150	   9	   0	 501	   5	1262	 631	 636	 295	   0	   0
151	 924	   0	 281	   2	1262	 630	 596	 287	   0	   0
152	   0	   0	   1	   7	1262	 629	 609	 277	   0	   0
153	   0	   0	   1	   6	1262	 631	 568	 295	   0	   0
154	  10	   0	 109	   0	1262	 629	 634	 294	   0	   0
155	 720	   0	 247	   0	1262	 630	 574	 277	   0	   0
156	   0	  10	   1	  25	1262	 635	 581	 265	   0	   0
157	   0	 857	   1	  29	1262	 630	 626	 282	   0	   0
158	   0	   0	 194	 108	1262	 631	 580	 315	   0	   0
159	   0	   0	 101	 110	1262	 631	 605	 294	   0	   0
160	   0	  13	   1	  35	1263	 629	 593	 280	   0	   0
161	   0	 589	   2	  37	1262	 629	 614	 285	   0	   0
162	   0	   8	 178	   3	1262	 635	 603	 285	   0	   0
163	   0	 465	  39	   0	1262	 632	 650	 329	   0	   0
164	   0	   8	   1	   6	1262	 632	 671	 261	   0	   0
165	   0	 907	   2	   7	1262	 625	 665	 281	   0	   0
166	 718	 402	   0	 100	1262	 628	 608	 290	   0	   0
167	  10	   5	   1	  95	1262	 630	 595	 282	   0	   0
168	   0	   0	   8	  46	1262	 634	 627	 290	   0	   0
169	   0	   0	 244	  45	1262	 632	 636	 247	   0	   0
170	   0	   0	   2	   6	1262	 633	 624	 249	   0	   0
171	   0	   0	  51	   6	1262	 629	 596	 298	   0	   0
172	1027	   0	  28	  83	1262	 634	 647	 288	   0	   0
173	  13	   0	 304	  86	1262	 630	 631	 288	   0	   0
174	   0	   0	   1	   1	1262	 631	 581	 274	   0	   0
175	   0	   0	   3	   1	1262	 631	 598	 302	   0	   0
176	 587	   0	 483	  43	1262	 624	 600	 264	   0	   0
177	  10	   0	  35	  35	1262	 630	 559	 279	   0	   0
178	   0	  11	  49	  27	1263	 631	 615	 282	   0	   0
179	   0	 847	 471	  32	1262	 630	 616	 278	   0	   0
180	   0	   0	 313	   7	1262	 629	 610	 290	   0	   0
181	   0	   0	 344	   8	1262	 632	 609	 280	   0	   0
182	   0	   9	 289	  44	1262	 632	 560	 276	   0	   0
183	   0	 661	  25	  47	1262	 628	 613	 277	   0	   0
184	  16	   0	   0	   0	1262	 635	 599	 309	   0	   0
185	1093	   0	   0	   0	1262	 633	 558	 270	   0	   0
186	   0	   0	   1	 137	1262	 634	 630	 308	   0	   0
187	   0	   0	   0	 139	1262	 627	 576	 272	   0	   0
188	   0	   0	  47	  34	1262	 633	 614	 287	   0	   0
189	   0	   0	 636	  38	1262	 633	 598	 256	   0	   0
190	   0	   0	   1	   3	1262	 634	 601	 297	   0	   0
191	   0	   0	   0	   2	1262	 629	 576	 285	   0	   0
192	   0	   0	 449	 162	   0	 625	 596	 302	   0	   0
193	   0	   0	 137	 147	   0	 629	 552	 278	   0	   0
194	   0	 582	   0	  70	   0	 630	 596	 305	   0	   0
195	   0	  11	   0	  68	   0	 630	 560	 284	   0	   0
196	   0	   0	   0	  13	   0	 631	 650	 270	   0	   0
197	   0	   0	   0	  15	   0	 625	 603	 280	   0	   0
198	 746	   0	  53	   5	   0	 627	 595	 289	   0	   0
199	  12	   0	   1	   4	   0	 634	 611	 256	   0	   0
200	   0	   0	 197	   3	   0	 632	 589	 314	   0	   0
201	   0	   0	  16	   3	   0	 629	 592	 278	   0	   0
202	   0	   0	  15	   9	   0	 635	 663	 296	   0	   0
203	   0	   0	 174	  12	   0	 634	 565	 294	   0	   0
204	 642	  16	   3	 129	   0	 635	 642	 294	   0	   0
205	  12	1217	   3	 128	   0	 630	 601	 308	   0	   0
206	   0	   0	 290	 110	   0	 631	 592	 262	   0	   0
207	   0	   0	  22	 115	   0	 635	 576	 304	   0	   0
208	 647	   9	   1	   9	   0	 634	 574	 309	   0	   0
209	  12	 664	   1	   6	   0	 630	 621	 315	   0	   0
210	   0	   0	   1	  13	   0	 631	 615	 296	   0	   0
211	   0	   0	   1	  14	   0	 629	 614	 317	   0	   0
212	   0	   0	  53	  90	   0	 629	 577	 278	   0	   0
213	   0	   0	   2	  92	   0	 633	 578	 278	   0	   0
214	   0	   0	 107	   7	   0	 629	 615	 297	   0	   0
215	   0	   0	   3	  10	   0	 632	 634	 281	   0	   0
216	   0	   0	   1	  19	   0	 630	 597	 280	   0	   0
217	   0	   0	   1	  20	   0	 629	 578	 294	   0	   0
218	   9	   0	   4	   2	   0	 633	 631	 275	   0	   0
219	1065	   0	   4	   3	   0	 627	 641	 284	   0	   0
220	   0	   7	   3	  10	   0	 632	 594	 278	   0	   0
221	   0	 518	   3	   9	   0	 629	 602	 296	   0	   0
222	   0	   0	 692	  15	   0	 630	 625	 287	   0	   0
223	   0	   0	  58	  16	   0	 631	 600	 271	   0	   0
224	   0	   9	   2	 119	   0	 634	 627	 288	   0	   0
225	   0	 733	   1	 102	   0	 628	 595	 262	   0	   0
226	   0	 659	   2	  46	   0	 627	 602	 298	   0	   0
227	   0	   9	   1	  43	   0	 633	 600	 288	   0	   0
228	   0	   0	 281	 125	   0	 629	 567	 269	   0	   0
229	   0	   0	  27	 123	   0	 631	 582	 261	   0	   0
230	  10	   0	  11	   6	   0	 633	 634	 257	   0	   0
231	 610	   0	 155	   4	   0	 631	 642	 262	   0	   0
232	   0	   0	 528	  42	   0	 633	 572	 320	   0	   0
233	   0	   0	 411	  46	   0	 633	 572	 293	   0	   0
234	   0	   0	 369	   7	   0	 630	 673	 270	   0	   0
235	   0	   0	  35	   7	   0	 632	 613	 282	   0	   0
236	   0	   0	  25	  85	   0	 630	 610	 261	   0	   0
237	   0	   0	 311	  87	   0	 625	 626	 257	   0	   0
238	  11	   0	   2	 131	   0	 628	 606	 285	   0	   0
239	 858	   0	  52	 144	   0	 629	 617	 296	   0	   0
240	   0	   0	   3	  17	   0	 630	 566	 260	   0	   0
241	   0	   0	 102	  18	   0	 632	 579	 268	   0	   0
242	   0	   0	   1	  26	   0	 633	 569	 265	   0	   0
243	   0	   0	   0	  26	   0	 633	 628	 275	   0	   0
244	 719	  10	 474	  30	   0	 632	 603	 269	   0	   0
245	  13	 660	  77	  31	   0	 629	 595	 306	   0	   0
246	   0	 530	  28	   5	   0	 628	 631	 309	   0	   0
247	   0	   6	   1	   5	   0	 629	 581	 313	   0	   0
248	 738	   0	   1	   4	   0	 632	 602	 272	   0	   0
249	  13	   0	   0	   5	   0	 632	 600	 261	   0	   0
250	   0	   9	   1	  48	   0	 631	 554	 335	   0	   0
251	   0	 833	   0	  62	   0	 632	 575	 280	   0	   0
252	   0	   0	   0	   2	   0	 633	 562	 275	   0	   0
253	   0	   0	   0	   4	   0	 631	 609	 279	   0	   0
254	   0	 691	   1	  16	   0	 629	 606	 300	   0	   0
255	   0	  12	   0	  15	   0	 629	 638	 281	   0	   0
256	152996	1903	6168	9778	19603	   0	6501	81472	173239	28662
var	9522	 260	 406	 607	1338	  39	 367	5054	10789	5873
