P0=1427		P1=6216		P2=0		P3=0		P4=0		
P5=0		P6=121565		P7=0		P8=0		P9=0		
P10=0		P11=0		P12=0		P13=0		P14=0		

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4
135	  14	   0	 317	  44	1262	 630	 586	 279
136	   0	   2	   0	  71	1262	 630	 592	 256
137	   0	 417	   1	  64	1262	 625	 624	 293
138	  12	   0	   0	  70	1262	 634	 596	 298
139	 669	   0	   0	  74	1262	 626	 586	 283
140	   0	   0	   0	  43	1262	 632	 590	 298
141	   0	   0	   1	  46	1262	 629	 618	 282
142	   0	   1	   0	  35	1262	 633	 589	 285
143	   0	 503	   1	  36	1262	 631	 622	 293
144	   0	   6	 134	  40	1262	 633	 581	 280
145	   0	 486	 720	  26	1262	 632	 609	 257
146	   0	   5	   3	   3	1262	 632	 642	 306
147	   0	 543	   1	   3	1263	 630	 549	 285
148	   0	   6	   2	   2	1262	 628	 649	 292
149	   0	 523	   2	   3	1262	 629	 606	 313
150	   9	   0	 501	   5	1262	 631	 636	 295
151	 924	   0	 281	   2	1262	 630	 596	 287
152	   0	   0	   1	   7	1262	 629	 609	 277
153	   0	   0	   1	   6	1262	 631	 568	 295
154	  10	   0	 109	   0	1262	 629	 634	 294
155	 720	   0	 247	   0	1262	 630	 574	 277
156	   0	  10	   1	  25	1262	 635	 581	 265
157	   0	 857	   1	  29	1262	 630	 626	 282
158	   0	   0	 194	 108	1262	 631	 580	 315
159	   0	   0	 101	 110	1262	 631	 605	 294
160	   0	  13	   1	  35	1263	 629	 593	 280
161	   0	 589	   2	  37	1262	 629	 614	 285
162	   0	   8	 178	   3	1262	 635	 603	 285
163	   0	 465	  39	   0	1262	 632	 650	 329
164	   0	   8	   1	   6	1262	 632	 671	 261
165	   0	 907	   2	   7	1262	 625	 665	 281
166	 718	 402	   0	 100	1262	 628	 608	 290
167	  10	   5	   1	  95	1262	 630	 595	 282
168	   0	   0	   8	  46	1262	 634	 627	 290
169	   0	   0	 244	  45	1262	 632	 636	 247
170	   0	   0	   2	   6	1262	 633	 624	 249
171	   0	   0	  51	   6	1262	 629	 596	 298
172	1027	   0	  28	  83	1262	 634	 647	 288
173	  13	   0	 304	  86	1262	 630	 631	 288
174	   0	   0	   1	   1	1262	 631	 581	 274
175	   0	   0	   3	   1	1262	 631	 598	 302
176	 587	   0	 483	  43	1262	 624	 600	 264
177	  10	   0	  35	  35	1262	 630	 559	 279
178	   0	  11	  49	  27	1263	 631	 615	 282
179	   0	 847	 471	  32	1262	 630	 616	 278
180	   0	   0	 313	   7	1262	 629	 610	 290
181	   0	   0	 344	   8	1262	 632	 609	 280
182	   0	   9	 289	  44	1262	 632	 560	 276
183	   0	 661	  25	  47	1262	 628	 613	 277
184	  16	   0	   0	   0	1262	 635	 599	 309
185	1093	   0	   0	   0	1262	 633	 558	 270
186	   0	   0	   1	 137	1262	 634	 630	 308
187	   0	   0	   0	 139	1262	 627	 576	 272
188	   0	   0	  47	  34	1262	 633	 614	 287
189	   0	   0	 636	  38	1262	 633	 598	 256
190	   0	   0	   1	   3	1262	 634	 601	 297
191	   0	   0	   0	   2	1262	 629	 576	 285
192	   0	   0	 449	 162	   0	 625	 596	 302
193	   0	   0	 137	 147	   0	 629	 552	 278
194	   0	 582	   0	  70	   0	 630	 596	 305
195	   0	  11	   0	  68	   0	 630	 560	 284
196	   0	   0	   0	  13	   0	 631	 650	 270
197	   0	   0	   0	  15	   0	 625	 603	 280
198	 746	   0	  53	   5	   0	 627	 595	 289
199	  12	   0	   1	   4	   0	 634	 611	 256
200	   0	   0	 197	   3	   0	 632	 589	 314
201	   0	   0	  16	   3	   0	 629	 592	 278
202	   0	   0	  15	   9	   0	 635	 663	 296
203	   0	   0	 174	  12	   0	 634	 565	 294
204	 642	  16	   3	 129	   0	 635	 642	 294
205	  12	1217	   3	 128	   0	 630	 601	 308
206	   0	   0	 290	 110	   0	 631	 592	 262
207	   0	   0	  22	 115	   0	 635	 576	 304
208	 647	   9	   1	   9	   0	 634	 574	 309
209	  12	 664	   1	   6	   0	 630	 621	 315
210	   0	   0	   1	  13	   0	 631	 615	 296
211	   0	   0	   1	  14	   0	 629	 614	 317
212	   0	   0	  53	  90	   0	 629	 577	 278
213	   0	   0	   2	  92	   0	 633	 578	 278
214	   0	   0	 107	   7	   0	 629	 615	 297
215	   0	   0	   3	  10	   0	 632	 634	 281
216	   0	   0	   1	  19	   0	 630	 597	 280
217	   0	   0	   1	  20	   0	 629	 578	 294
218	   9	   0	   4	   2	   0	 633	 631	 275
219	1065	   0	   4	   3	   0	 627	 641	 284
220	   0	   7	   3	  10	   0	 632	 594	 278
221	   0	 518	   3	   9	   0	 629	 602	 296
222	   0	   0	 692	  15	   0	 630	 625	 287
223	   0	   0	  58	  16	   0	 631	 600	 271
224	   0	   9	   2	 119	   0	 634	 627	 288
225	   0	 733	   1	 102	   0	 628	 595	 262
226	   0	 659	   2	  46	   0	 627	 602	 298
227	   0	   9	   1	  43	   0	 633	 600	 288
228	   0	   0	 281	 125	   0	 629	 567	 269
229	   0	   0	  27	 123	   0	 631	 582	 261
230	  10	   0	  11	   6	   0	 633	 634	 257
231	 610	   0	 155	   4	   0	 631	 642	 262
232	   0	   0	 528	  42	   0	 633	 572	 320
233	   0	   0	 411	  46	   0	 633	 572	 293
234	   0	   0	 369	   7	   0	 630	 673	 270
235	   0	   0	  35	   7	   0	 632	 613	 282
236	   0	   0	  25	  85	   0	 630	 610	 261
237	   0	   0	 311	  87	   0	 625	 626	 257
238	  11	   0	   2	 131	   0	 628	 606	 285
239	 858	   0	  52	 144	   0	 629	 617	 296
240	   0	   0	   3	  17	   0	 630	 566	 260
241	   0	   0	 102	  18	   0	 632	 579	 268
242	   0	   0	   1	  26	   0	 633	 569	 265
243	   0	   0	   0	  26	   0	 633	 628	 275
244	 719	  10	 474	  30	   0	 632	 603	 269
245	  13	 660	  77	  31	   0	 629	 595	 306
246	   0	 530	  28	   5	   0	 628	 631	 309
247	   0	   6	   1	   5	   0	 629	 581	 313
248	 738	   0	   1	   4	   0	 632	 602	 272
249	  13	   0	   0	   5	   0	 632	 600	 261
250	   0	   9	   1	  48	   0	 631	 554	 335
251	   0	 833	   0	  62	   0	 632	 575	 280
252	   0	   0	   0	   2	   0	 633	 562	 275
253	   0	   0	   0	   4	   0	 631	 609	 279
254	   0	 691	   1	  16	   0	 629	 606	 300
255	   0	  12	   0	  15	   0	 629	 638	 281
256	152996	1903	6168	9778	19603	   0	6501	81472
var	-2147483648	17443066	42528037	94987863	-2147483648	-2147483648	-2147483648	-2147483648
