P0=1757  	P1=6865  	P2=0     	P3=0     	P4=0     	
P5=0     	P6=121079	P7=0     	P8=0     	P9=0     	
P10=0     	P11=0     	P12=0     	P13=0     	P14=0     	
protocalVar= 55084

IP	src1	src2	src3	src4	dst1	dst2	dst3	dst4	srcPort	dstPort
234	   0	   0	   0	   1	 663	 634	 658	 318	   0	   0
235	   0	   0	   0	   4	 663	 630	 606	 279	   0	   0
236	   7	   0	  76	   4	 663	 619	 620	 250	   0	   0
237	1262	   0	  11	   6	 626	 625	 610	 258	   0	   0
238	   0	   0	 696	   5	 663	 621	 607	 297	   0	   0
239	   0	   0	1176	   4	 663	 632	 616	 289	   0	   0
240	   6	   0	 113	 154	 663	 620	 664	 278	   0	   0
241	1476	   0	   2	 153	 632	 641	 627	 290	   0	   0
242	   0	   0	   0	   6	 663	 633	 584	 247	   0	   0
243	   0	   0	   0	   2	 663	 638	 666	 311	   0	   0
244	   0	   0	 204	  17	 663	 623	 640	 311	   0	   0
245	   0	   0	   3	  16	 663	 625	 643	 295	   0	   0
246	   0	1520	 669	  34	 663	 908	 628	 297	   0	   0
247	   0	   8	   5	  34	 663	 614	 610	 307	   0	   0
248	   0	   0	 606	  83	 663	 631	 678	 296	   0	   0
249	   0	   0	   6	  79	 663	 623	 620	 322	   0	   0
250	1258	   0	   5	 158	 610	 626	 600	 293	   0	   0
251	   8	   0	 366	 163	 663	 627	 607	 282	   0	   0
252	   0	   0	   0	 314	 663	 628	 773	 320	   0	   0
253	   0	   0	   0	 312	 663	 627	 731	 290	   0	   0
254	   0	   0	 106	   1	 663	 614	 736	 282	   0	   0
255	   0	   0	 419	   1	 663	 631	 769	 310	   0	   0
256	146176	1430	3493	23132	26160	   0	4076	87887	176434	49764
var	9102	 432	 377	1438	1587	  89	 218	5452	11014	7636
